benchmark,instance,verdict,wall_s,timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_9611_sidx_7725_eps_0.0039.vnnlib,NOT_APPLICABLE,4.16,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:02.144884+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_3429_sidx_4578_eps_0.0039.vnnlib,NOT_APPLICABLE,4.27,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:10.556928+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_5685_sidx_8755_eps_0.0039.vnnlib,NOT_APPLICABLE,4.16,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:18.742133+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_5257_sidx_5727_eps_0.0039.vnnlib,NOT_APPLICABLE,4.15,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:26.930058+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_9437_sidx_5480_eps_0.0039.vnnlib,NOT_APPLICABLE,4.14,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:35.091320+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_4500_sidx_6717_eps_0.0039.vnnlib,NOT_APPLICABLE,4.16,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:43.281770+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_4871_sidx_7562_eps_0.0039.vnnlib,NOT_APPLICABLE,4.26,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:51.625225+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_2210_sidx_992_eps_0.0039.vnnlib,NOT_APPLICABLE,4.22,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:52:59.927777+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_1651_sidx_3548_eps_0.0039.vnnlib,NOT_APPLICABLE,4.16,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:53:08.255373+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_7183_sidx_4731_eps_0.0039.vnnlib,NOT_APPLICABLE,4.17,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:53:16.614967+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_647_sidx_9608_eps_0.0039.vnnlib,NOT_APPLICABLE,4.25,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:53:24.926980+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_9992_sidx_5063_eps_0.0039.vnnlib,NOT_APPLICABLE,4.14,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:53:33.092675+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_3543_sidx_5527_eps_0.0039.vnnlib,NOT_APPLICABLE,4.11,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:53:41.237129+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_2045_sidx_7367_eps_0.0039.vnnlib,NOT_APPLICABLE,4.24,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:53:49.555600+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_7542_sidx_9873_eps_0.0039.vnnlib,NOT_APPLICABLE,4.23,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:53:57.866218+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_5743_sidx_6569_eps_0.0039.vnnlib,NOT_APPLICABLE,4.59,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:54:06.470321+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_5427_sidx_8226_eps_0.0039.vnnlib,NOT_APPLICABLE,4.39,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:54:14.876865+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_1496_sidx_9465_eps_0.0039.vnnlib,NOT_APPLICABLE,4.14,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:54:23.028792+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_600_sidx_4087_eps_0.0039.vnnlib,NOT_APPLICABLE,4.25,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:54:31.359468+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_6618_sidx_5022_eps_0.0039.vnnlib,NOT_APPLICABLE,4.21,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:54:39.679132+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_6036_sidx_4672_eps_0.0039.vnnlib,NOT_APPLICABLE,4.24,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:54:48.024570+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_3375_sidx_5824_eps_0.0039.vnnlib,NOT_APPLICABLE,4.15,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:54:56.192349+00:00
