network,test_input_id,test_x0,test_x1,perturbation_radius,seed,output_dim,spec_type,spec_params,flow_volume,flow_coverage,flow_threshold,flow_delta_1,flow_verdict,flow_runtime,clip_volume,clip_coverage,clip_lb,clip_ub,clip_verdict,clip_runtime,exact_volume,exact_verdict,exact_n_stars,exact_time,exact_method,volume_ratio_clip_over_flow,volume_ratio_clip_over_exact,volume_ratio_flow_over_exact,flow_vs_exact,clip_vs_exact
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.1,110000,3,classification_robustness,true_class=0,0.11594192832984351,0.9987999796867371,2.045666217803955,0.9969902212511332,verified,10.221982479095459,0.38364340615012194,0.9995999932289124,"[2.253899574279785, -7.782915115356445, 0.616771936416626]","[2.9921579360961914, -7.167285919189453, 1.4608840942382812]",verified,30.23372530937195,,verified,4,0.029193878173828125,exact,3.3089272507068688,,,match,match
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.1,110001,3,classification_robustness,true_class=0,0.12052382356186442,0.9998000264167786,1.9650464057922363,0.9969902212511332,verified,10.32576584815979,0.40498779888588904,0.9998000264167786,"[2.247337325105389, -7.79588508605957, 0.6223121169701363]","[2.995129601469318, -7.148885726928711, 1.4593731280669426]",verified,30.460260152816772,,verified,4,0.029193878173828125,exact,3.360230259190295,,,match,match
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.1,110002,3,classification_robustness,true_class=0,0.12669942511324805,0.9998000264167786,2.0190296173095703,0.9969902212511332,verified,10.015241622924805,0.3781118589421209,1.0,"[2.2495391368865967, -7.778378486633301, 0.6303272843360901]","[2.982976198196411, -7.163351535797119, 1.4685574769973755]",verified,30.469578981399536,,verified,4,0.029193878173828125,exact,2.9843218199621053,,,match,match
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.25,125000,3,classification_robustness,true_class=0,0.939734421432675,1.0,2.421112537384033,0.9969902212511332,falsified,10.310588359832764,6.781468553800067,1.0,"[1.6774957180023193, -8.255691051483154, -0.10255837440490723]","[3.5953369140625, -6.681548595428467, 2.143738105893135]",unknown,30.15229558944702,,falsified,8,0.02092123031616211,exact,7.216367091737853,,,match,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.25,125001,3,classification_robustness,true_class=0,0.9726478125715019,1.0,2.4320716857910156,0.9969902212511332,falsified,10.318000555038452,6.443861123390513,0.9998000264167786,"[1.6984177827835083, -8.228111267089844, -0.0983634740114212]","[3.5960171222686768, -6.699325084686279, 2.122873544692993]",unknown,30.028015851974487,,falsified,8,0.02092123031616211,exact,6.625071315745963,,,match,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.25,125002,3,classification_robustness,true_class=0,1.1417546885020116,1.0,2.443617105484009,0.9969902212511332,falsified,10.153142213821411,6.581387779045165,0.9998000264167786,"[1.71001136302948, -8.25701379776001, -0.1009800136089325]","[3.599612236022949, -6.682624340057373, 2.1112751960754395]",unknown,30.105609893798828,,falsified,8,0.02092123031616211,exact,5.764274800290053,,,match,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.5,150000,3,classification_robustness,true_class=0,7.258232160414309,0.9995999932289124,3.314331531524658,0.9969902212511332,falsified,10.448925733566284,55.8514673872708,0.9998000264167786,"[0.7280975580215454, -9.074598774104821, -1.2588458061218262]","[4.577737092971802, -5.8434744032328245, 3.231304168701172]",unknown,30.229938745498657,,falsified,11,0.036980390548706055,exact,7.694913327776875,,,match,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.5,150001,3,classification_robustness,true_class=0,7.033027775519599,0.9995999932289124,3.3543641567230225,0.9969902212511332,unknown,10.390080451965332,52.72222546035742,1.0,"[0.7587816119194031, -9.039376258850098, -1.21427583694458]","[4.535888671875, -5.895858287811279, 3.2260873317718506]",unknown,30.20917534828186,,falsified,11,0.036980390548706055,exact,7.496376687700812,,,conservative_unknown,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,0.5,150002,3,classification_robustness,true_class=0,7.219467747404792,0.9998000264167786,3.1380834579467773,0.9969902212511332,falsified,10.424208402633667,53.21750219211213,0.9998000264167786,"[0.7629908007018609, -9.02548360824585, -1.2539699483330613]","[4.5715173799164255, -5.905536651611328, 3.224712650817192]",unknown,30.332467555999756,,falsified,11,0.036980390548706055,exact,7.37138859180338,,,match,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,1.0,200000,3,classification_robustness,true_class=0,219.56816685906233,1.0,6.7035298347473145,0.9969902212511332,falsified,10.858139753341675,393.93434727540193,0.9998000264167786,"[-1.0390390942793377, -10.561047077178955, -3.233188951721592]","[6.332898754904796, -4.308538913726807, 5.313303554764195]",unknown,30.16313886642456,,falsified,38,0.32141733169555664,exact,1.7941323321620788,,,match,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,1.0,200001,3,classification_robustness,true_class=0,215.6045215378981,0.9998000264167786,6.355039119720459,0.9969902212511332,unknown,10.986443042755127,415.04339201829066,0.9998000264167786,"[-1.0352604389190674, -10.621320724487305, -3.310567855834961]","[6.30748176574707, -4.190332412719727, 5.478797197341919]",unknown,30.28170156478882,,falsified,38,0.32141733169555664,exact,1.9250217437825672,,,conservative_unknown,conservative_unknown
ThreeBlobClassifier,0,-1.8544065952301025,1.3924338817596436,1.0,200002,3,classification_robustness,true_class=0,127.82719537199227,0.9998000264167786,6.1020402908325195,0.9969902212511332,unknown,11.260668992996216,393.88373245360987,0.9995999932289124,"[-0.9786357283592224, -10.59656810760498, -3.246276617050171]","[6.354942977428436, -4.32348108291626, 5.315635681152344]",unknown,30.075356245040894,,falsified,38,0.32141733169555664,exact,3.0813766296550713,,,conservative_unknown,conservative_unknown
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.1,120000,3,classification_robustness,true_class=0,0.1187296870770922,1.0,1.9564837217330933,0.9969902212511332,verified,10.289748907089233,0.40420925647517025,1.0,"[4.484803199768066, -8.941075325012207, -2.061718225479126]","[5.2213850021362305, -8.297656059265137, -1.208831787109375]",verified,30.387280464172363,,verified,2,0.013750553131103516,exact,3.404449775166288,,,match,match
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.1,120001,3,classification_robustness,true_class=0,0.11812391876211592,0.9995999932289124,1.9411563873291016,0.9969902212511332,verified,10.289923191070557,0.40857882677922125,0.9998000264167786,"[4.491896353397273, -8.94940185546875, -2.0676432213449507]","[5.2319438832665455, -8.302765846252441, -1.2138428130483596]",verified,30.436752319335938,,verified,2,0.013750553131103516,exact,3.4589000353267867,,,match,match
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.1,120002,3,classification_robustness,true_class=0,0.12498924598506278,0.9995999932289124,1.9894801378250122,0.9969902212511332,verified,9.806841850280762,0.4031014253532735,0.9998000264167786,"[4.490408420562744, -8.950082778930664, -2.059473752975464]","[5.217997074127197, -8.30046272277832, -1.2066309452056885]",verified,30.484357357025146,,verified,2,0.013750553131103516,exact,3.2250888640567315,,,match,match
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.25,135000,3,classification_robustness,true_class=0,0.927525176418527,0.9995999932289124,2.347783088684082,0.9969902212511332,verified,10.132514715194702,6.302715252915342,1.0,"[3.917283296585083, -9.42449951171875, -2.6523377895355225]","[5.761251449584961, -7.798895835876465, -0.5497235655784607]",verified,30.633686780929565,,verified,2,0.008451700210571289,exact,6.795195875169828,,,match,match
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.25,135001,3,classification_robustness,true_class=0,0.8763930761923149,0.9998000264167786,2.3443048000335693,0.9969902212511332,verified,10.08702802658081,6.032082125370887,0.9990000128746033,"[3.9307761317156515, -9.4268550747968, -2.6354851722717285]","[5.741557108793382, -7.819845688905593, -0.562563419342041]",verified,30.542587518692017,,verified,2,0.008451700210571289,exact,6.8828500466692555,,,match,match
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.25,135002,3,classification_robustness,true_class=0,0.964912164393219,0.9998000264167786,2.3415539264678955,0.9969902212511332,verified,9.933793067932129,6.263070503151833,0.9995999932289124,"[3.9196531772613525, -9.434843376545377, -2.6368167400360107]","[5.745720863342285, -7.794228717418246, -0.5462509393692017]",verified,30.277697324752808,,verified,2,0.008451700210571289,exact,6.490819303838229,,,match,match
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.5,160000,3,classification_robustness,true_class=0,6.100530972978049,1.0,3.0614027976989746,0.9969902212511332,verified,10.185897827148438,49.23523784182269,0.9995999932289124,"[2.910485029220581, -10.218537330627441, -3.571849822998047]","[6.496043682098389, -6.986917972564697, 0.6772702932357788]",verified,30.373244524002075,,verified,9,0.03094625473022461,exact,8.070647958334666,,,match,match
ThreeBlobClassifier,1,-2.4122233390808105,0.7719458937644958,0.5,160001,3,classification_robustness,true_class=0,6.47105844174564,0.9998000264167786,3.1252634525299072,0.9969902212511332,verified,10.111974477767944,49.06933259454167,1.0,"[2.926103115081787, -10.214170455932617, -3.5491443276405334]","[6.522334575653076, -6.9598774909973145, 0.6436722874641418]",verified,30.408116102218628,,verified,9,0.03094625473022461,exact,7.582891274476679,,,match,match
