benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
metaroom_2023,6cnn_ry_81_13_no_custom_OP.onnx,spec_idx_144_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.82,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:06:12.158005+00:00
metaroom_2023,6cnn_tz_38_6_no_custom_OP.onnx,spec_idx_179_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.17,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:06:20.373201+00:00
metaroom_2023,6cnn_ry_53_8_no_custom_OP.onnx,spec_idx_127_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.15,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:06:28.509739+00:00
metaroom_2023,6cnn_tz_94_15_no_custom_OP.onnx,spec_idx_209_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.16,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:06:36.664555+00:00
metaroom_2023,6cnn_ry_68_11_no_custom_OP.onnx,spec_idx_136_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.30,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:06:45.015209+00:00
metaroom_2023,6cnn_ry_54_9_no_custom_OP.onnx,spec_idx_128_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.49,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:06:53.533920+00:00
metaroom_2023,4cnn_ry_30_5_no_custom_OP.onnx,spec_idx_9_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.11,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:01.633541+00:00
metaroom_2023,6cnn_ry_18_3_no_custom_OP.onnx,spec_idx_107_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.19,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:09.814772+00:00
metaroom_2023,6cnn_tz_54_9_no_custom_OP.onnx,spec_idx_189_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.16,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:18.031969+00:00
metaroom_2023,6cnn_tz_113_18_no_custom_OP.onnx,spec_idx_159_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.17,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:26.207027+00:00
metaroom_2023,4cnn_ry_79_13_no_custom_OP.onnx,spec_idx_38_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.10,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:34.299382+00:00
metaroom_2023,6cnn_tz_22_3_no_custom_OP.onnx,spec_idx_171_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.28,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:42.660900+00:00
metaroom_2023,4cnn_ry_19_3_no_custom_OP.onnx,spec_idx_5_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.11,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:50.815787+00:00
metaroom_2023,4cnn_tz_94_15_no_custom_OP.onnx,spec_idx_90_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.08,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:07:58.887397+00:00
metaroom_2023,6cnn_tz_10_1_no_custom_OP.onnx,spec_idx_158_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.24,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:08:07.202865+00:00
metaroom_2023,6cnn_ry_35_5_no_custom_OP.onnx,spec_idx_115_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.18,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:08:15.450440+00:00
metaroom_2023,4cnn_ry_58_9_no_custom_OP.onnx,spec_idx_29_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.08,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:08:23.528448+00:00
metaroom_2023,4cnn_tz_103_17_no_custom_OP.onnx,spec_idx_47_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.10,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:08:31.608287+00:00
metaroom_2023,6cnn_tz_78_13_no_custom_OP.onnx,spec_idx_204_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.21,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:08:39.821950+00:00
metaroom_2023,6cnn_tz_6_1_no_custom_OP.onnx,spec_idx_200_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.43,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:08:48.241243+00:00
metaroom_2023,6cnn_tz_3_0_no_custom_OP.onnx,spec_idx_181_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.20,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:08:56.431485+00:00
metaroom_2023,6cnn_ry_4_0_no_custom_OP.onnx,spec_idx_125_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.22,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:09:04.640822+00:00
metaroom_2023,6cnn_ry_95_15_no_custom_OP.onnx,spec_idx_150_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.21,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:09:13.045168+00:00
