benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
dist_shift_2023,mnist_concat.onnx+index3401_delta0.13.vnnlib,UNSAT,0.75,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:29.772238+00:00
dist_shift_2023,mnist_concat.onnx+index9101_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:34.452173+00:00
dist_shift_2023,mnist_concat.onnx+index7109_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:39.115485+00:00
dist_shift_2023,mnist_concat.onnx+index4312_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,2.6312327325351927e-05,0.010026312327325352,1,,2026-05-04T20:12:43.773048+00:00
dist_shift_2023,mnist_concat.onnx+index9203_delta0.13.vnnlib,UNSAT,0.81,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:48.486252+00:00
dist_shift_2023,mnist_concat.onnx+index1929_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:53.145882+00:00
dist_shift_2023,mnist_concat.onnx+index6217_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:57.808989+00:00
dist_shift_2023,mnist_concat.onnx+index4272_delta0.13.vnnlib,SAT,0.81,300,0.001,0.01,0.05,38005,1,0.001,0.05,0,0.16887251677410867,0.17887251677410868,6418,,2026-05-04T20:13:02.635648+00:00
dist_shift_2023,mnist_concat.onnx+index316_delta0.13.vnnlib,UNSAT,0.80,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:07.612209+00:00
dist_shift_2023,mnist_concat.onnx+index2750_delta0.13.vnnlib,UNSAT,0.84,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:12.632396+00:00
dist_shift_2023,mnist_concat.onnx+index7336_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:17.383065+00:00
dist_shift_2023,mnist_concat.onnx+index1453_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:22.054428+00:00
dist_shift_2023,mnist_concat.onnx+index112_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:26.729783+00:00
dist_shift_2023,mnist_concat.onnx+index6936_delta0.13.vnnlib,UNSAT,0.82,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:31.454904+00:00
dist_shift_2023,mnist_concat.onnx+index6574_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:36.133068+00:00
dist_shift_2023,mnist_concat.onnx+index7281_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:40.823380+00:00
dist_shift_2023,mnist_concat.onnx+index6551_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:45.495882+00:00
dist_shift_2023,mnist_concat.onnx+index6412_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:50.157166+00:00
dist_shift_2023,mnist_concat.onnx+index3552_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:54.828959+00:00
