benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:59:13.572543+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.00021049861860281542,0.010210498618602815,8,,2026-05-04T19:59:17.627348+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:59:21.679901+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,2.6312327325351927e-05,0.010026312327325352,1,,2026-05-04T19:59:25.727137+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:59:29.777511+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:59:33.821694+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:59:37.957509+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.007814761215629523,0.017814761215629523,297,,2026-05-04T19:59:42.149467+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.013629785554532299,0.0236297855545323,518,,2026-05-04T19:59:46.189801+00:00
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.01776082094461255,0.027760820944612553,675,,2026-05-04T19:59:50.236221+00:00
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.009104065254571766,0.019104065254571766,346,,2026-05-04T19:59:54.281168+00:00
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.01828706749111959,0.02828706749111959,695,,2026-05-04T19:59:58.483179+00:00
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.16,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0116037363504802,0.0216037363504802,441,,2026-05-04T20:00:02.646942+00:00
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.026417576634653335,0.03641757663465334,1004,,2026-05-04T20:00:06.828825+00:00
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.019602683857387185,0.029602683857387187,745,,2026-05-04T20:00:10.867727+00:00
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.002631232732535193,0.012631232732535193,100,,2026-05-04T20:00:14.916567+00:00
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.01815550585449283,0.028155505854492828,690,,2026-05-04T20:00:18.962492+00:00
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0001841862912774635,0.010184186291277464,7,,2026-05-04T20:00:23.009458+00:00
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:00:27.068826+00:00
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.004446783317984476,0.014446783317984477,169,,2026-05-04T20:00:31.203280+00:00
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.16,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.010866991185370345,0.020866991185370345,413,,2026-05-04T20:00:35.418480+00:00
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.018997500328904092,0.028997500328904094,722,,2026-05-04T20:00:39.470588+00:00
